# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
MICOS10		MICOS complex subunit MIC10	C1orf151,MIC10,MINOS1
GRAMD1B		Protein Aster-B	
DCTN5		Dynactin subunit 5	
CCL23		C-C motif chemokine 23	MIP3,MPIF1,SCYA23
LHFPL1		LHFPL tetraspan subfamily member 1 protein	
HBEGF		Proheparin-binding EGF-like growth factor	DTR,DTS,HEGFL
OTOA		Otoancorin	
BCL2		Apoptosis regulator Bcl-2	
HMHB1		Minor histocompatibility protein HB-1	
CAD		Multifunctional protein CAD	
TEKTIP1		Tektin bundle-interacting protein 1	C19orf71
FBXO25		F-box only protein 25	FBX25
MCCD1		Mitochondrial coiled-coil domain protein 1	
NOD2		Nucleotide-binding oligomerization domain-containing protein 2	CARD15
SASS6		Spindle assembly abnormal protein 6 homolog	SAS6
ASNSD1		Asparagine synthetase domain-containing protein 1	NS3TP1,Nbla00058
SHROOM4		Protein Shroom4	SHAP
NBDY		Negative regulator of P-body association	LINC01420
ATXN2L		Ataxin-2-like protein	A2D,A2LG,A2LP,A2RP
KLF13		Krueppel-like factor 13	BTEB3,NSLP1
BLTP3B		Bridge-like lipid transfer protein family member 3B	SHIP164,UHRF1BP1L
PLEKHH3		Pleckstrin homology domain-containing family H member 3	
CYP4F2		Cytochrome P450 4F2	
ZNF592		Zinc finger protein 592	
IRGC		Interferon-inducible GTPase 5	IIGP5,IRGC1
CLDN23		Claudin-23	
DNAH12		Dynein axonemal heavy chain 12	DHC3,DLP12,DNAH12L,DNAH7L
LYG1		Lysozyme g-like protein 1	
SI		Sucrase-isomaltase, intestinal	
KLHL40		Kelch-like protein 40	KBTBD5,SRYP
GCSAML		Germinal center-associated signaling and motility-like protein	C1orf150
PRADC1		Protease-associated domain-containing protein 1	C2orf7,PAP21
SLC22A14		Solute carrier family 22 member 14	OCTL2,ORCTL4
GTPBP4		GTP-binding protein 4	CRFG,NOG1
